day,month,year,x,y,data_source,data_source2,presence_absence,weights
11,4,2003,28.8022,-24.8374,ICOSAMP,controldata,1,0.833158162
9,4,2003,26.4789,-28.6506,NfA-yearpos5AC,controldata,1,0.995046105
9,4,2003,26.4789,-28.6506,ICOSAMP,controldata,1,0.995046105
15,4,2003,25.9549,-25.0392,NfA-yearpos5AC,controldata,1,0.975530908
15,4,2003,27.3442,-27.9251,NfA-yearpos5AC,controldata,1,0.997736162
15,4,2003,25.9549,-25.0392,ICOSAMP,controldata,1,0.975530908
15,4,2003,27.3442,-27.9251,ICOSAMP,controldata,1,0.997736162
24,4,2003,27.4808,-27.4182,NfA-yearpos5AC,controldata,1,0.974883459
24,4,2003,27.4808,-27.4182,ICOSAMP,controldata,1,0.974883459
12,3,2003,26.6872,-23.9955,ICOSAMP,controldata,0,0.980585472
22,1,2003,28.3149,-25.0552,ICOSAMP,controldata,1,0.552764829
22,1,2003,28.3151,-25.0416,ICOSAMP,controldata,1,0.552764829
22,1,2003,28.3004,-25.0544,ICOSAMP,controldata,1,0.552764829
22,1,2003,28.3115,-25.0203,ICOSAMP,controldata,1,0.584793442
22,1,2003,28.3398,-24.9483,ICOSAMP,controldata,1,0.577265177
31,12,2003,19.1948,-18.5024,EBIRD,gbifdata,0,0.989069281
19,1,2003,31.51647,-24.94826,EBIRD,gbifdata,1,0.531820374
21,3,2003,30.11528,-27.35598,EBIRD,gbifdata,1,0.933216277
21,3,2003,28.4492,-22.7387,ICOSAMP,controldata,0,0.969458286
5,2,2003,25.7814,-23.6519,EBIRD,gbifdata,0,0.999892836
8,4,2003,27.08817,-25.28195,EBIRD,gbifdata,1,0.914717014
27,1,2003,28.3149,-25.0552,ICOSAMP,controldata,1,0.552764829
27,1,2003,28.3151,-25.0416,ICOSAMP,controldata,1,0.552764829
6,6,2003,21.2593,-31.1884,EBIRD,gbifdata,0,0.980121095
10,4,2003,19.98138,-32.28539,EBIRD,gbifdata,1,0.986718373
28,1,2003,27.4474,-27.0968,ICOSAMP,controldata,1,0.970197717
21,4,2003,27.0998,-28.0122,ICOSAMP,controldata,0,0.997774288
29,1,2003,27.6241,-26.9483,ICOSAMP,controldata,1,0.822844666
30,1,2003,28.2666,-25.0307,ICOSAMP,controldata,1,0.577265177
30,1,2003,28.3115,-25.0203,ICOSAMP,controldata,1,0.584793442
30,1,2003,28.2276,-24.6662,ICOSAMP,controldata,1,0.71009484
30,1,2003,28.2276,-24.6623,ICOSAMP,controldata,1,0.71009484
30,1,2003,28.8075,-24.8918,ICOSAMP,controldata,1,0.576367679
30,1,2003,28.8075,-24.8918,ICOSAMP,controldata,1,0.576367679
10,2,2003,28.28333,-24.86695,ICOSAMP,controldata,1,0.683384236
18,2,2003,28.9913,-24.8819,ICOSAMP,controldata,1,0.805754702
18,2,2003,28.9913,-24.8819,ICOSAMP,controldata,1,0.805754702
18,2,2003,29.9835,-24.8093,ICOSAMP,controldata,1,0.90855168
18,2,2003,29.9835,-24.8093,ICOSAMP,controldata,1,0.90855168
1,1,2003,31.592087,-24.993254,EBIRD,gbifdata,1,0.531820374
1,3,2003,26.536446,-33.136974,EBIRD,gbifdata,1,0.967953121
1,5,2003,28.9043,-26.4833,ICOSAMP,controldata,0,0.705080806
23,4,2003,27.6581,-25.6714,ICOSAMP,controldata,0,0.653967744
24,2,2003,27.9122,-26.9112,ICOSAMP,controldata,1,0.739665896
25,4,2003,26.4539,-25.3872,ICOSAMP,controldata,0,0.96582543
25,2,2003,28.59694,-24.78695,ICOSAMP,controldata,1,0.699646359
2,5,2003,30.0014,-25.8127,ICOSAMP,controldata,0,0.932442899
8,5,2003,26.9313,-25.5459,ICOSAMP,controldata,0,0.936037761
8,5,2003,29.8544,-27.2596,ICOSAMP,controldata,0,0.974426795
2,1,2003,31.411514,-25.108637,EBIRD,gbifdata,1,0.588763864
17,4,2003,31.1628,-26.9324,ICOSAMP,controldata,0,0.982391022
22,4,2003,27.8019,-28.156,ICOSAMP,controldata,0,0.989404169
3,1,2003,31.59876,-24.992067,EBIRD,gbifdata,1,0.531820374
12,5,2003,28.4506,-28.6737,ICOSAMP,controldata,0,0.97969244
17,5,2003,28.6682,-26.0542,ICOSAMP,controldata,0,0.614477844
4,1,2003,31.235847,-25.100058,EBIRD,gbifdata,1,0.619236896
4,1,2003,31.268078,-25.170494,EBIRD,gbifdata,1,0.642970048
4,1,2003,31.423645,-25.017174,EBIRD,gbifdata,1,0.588432143
4,1,2003,29.7958,-29.0695,ICOSAMP,controldata,0,0.799260569
10,1,2003,26.8614,-28.3124,ICOSAMP,controldata,0,0.973584097
4,6,2003,30.0016,-28.7611,ICOSAMP,controldata,0,0.955098323
6,5,2003,30.2958,-28.6837,ICOSAMP,controldata,0,0.976410545
18,5,2003,28.3743,-26.6586,ICOSAMP,controldata,0,0.740122167
3,2,2003,29.3566,-26.6705,ICOSAMP,controldata,0,0.898151423
5,6,2003,27.1443,-27.6839,ICOSAMP,controldata,0,0.988573648
2,6,2003,29.4556,-26.2562,ICOSAMP,controldata,0,0.901800354
30,5,2003,25.3331,-25.2712,ICOSAMP,controldata,0,0.945892943
13,6,2003,26.0916,-29.8157,ICOSAMP,controldata,0,0.996798478
2,3,2003,25.1854,-26.5208,ICOSAMP,controldata,0,0.986497348
1,2,2003,32.16667,-20.31667,ICOSAMP,controldata,1,0.999638322
1,2,2003,32.21667,-20.58333,ICOSAMP,controldata,1,0.999638322
1,2,2003,32.11666,-20.46667,ICOSAMP,controldata,1,0.999638322
17,2,2004,29.9717,-28.8428,ICOSAMP,controldata,0,0.947583454
17,2,2004,26.8288,-24.9486,ICOSAMP,controldata,0,0.942526048
3,2,2004,29.6804,-27.0079,ICOSAMP,controldata,0,0.922199003
5,3,2004,28.6123,-26.6519,ICOSAMP,controldata,0,0.736199968
15,1,2004,28.3567,-24.9781,ICOSAMP,controldata,1,0.584793442
28,3,2004,30.1874,-26.5958,ICOSAMP,controldata,0,0.926495302
27,1,2004,28.3838,-27.7608,ICOSAMP,controldata,1,0.993087928
27,1,2004,29.1582,-27.0051,ICOSAMP,controldata,1,0.896801157
27,1,2004,29.2008,-27.0196,ICOSAMP,controldata,1,0.896801157
25,11,2004,22.3237,-26.1896,EBIRD,gbifdata,0,0.98821197
25,11,2004,23.1354,-17.3946,EBIRD,gbifdata,0,0.960992338
26,1,2004,25.8504,-26.2288,ICOSAMP,controldata,1,0.982189359
2,4,2004,26.6858,-24.3804,ICOSAMP,controldata,0,0.953062209
28,1,2004,28.3567,-24.9781,ICOSAMP,controldata,1,0.584793442
29,1,2004,28.3107,-25.0387,ICOSAMP,controldata,1,0.552764829
29,1,2004,30.4693,-24.3176,ICOSAMP,controldata,0,0.90234689
29,1,2004,32.21738,-27.68278,EBIRD,gbifdata,1,0.559652789
15,3,2004,26.18333333,-20.21666667,NfA-yearpos5AC,controldata,1,0.993616093
15,3,2004,26.51667,-23.03333,ICOSAMP,controldata,1,0.992927182
15,3,2004,27.23333333,-22.78333333,NfA-yearpos5AC,controldata,1,0.989350587
15,3,2004,26.63333,-23.73333,ICOSAMP,controldata,1,0.989330493
15,3,2004,27.23333,-22.78333,ICOSAMP,controldata,1,0.989350587
15,3,2004,28.44583,-21.92333,ICOSAMP,controldata,1,0.972592831
15,3,2004,26.73195,-22.35611,ICOSAMP,controldata,1,0.994741314
15,3,2004,23.81667,-20.33333,ICOSAMP,controldata,1,0.948705996
15,3,2004,25.0375,-24.09611,ICOSAMP,controldata,1,0.999799068
15,3,2004,25.53333,-24.03333,ICOSAMP,controldata,1,0.988619193
15,3,2004,26.86667,-21.3,ICOSAMP,controldata,1,0.996122006
15,3,2004,27.07917,-21.335,ICOSAMP,controldata,1,0.996552894
15,3,2004,26.58333,-21.33333,ICOSAMP,controldata,1,0.994195288
15,3,2004,25.89999962,-24.63333321,NfA-yearpos5AC,controldata,1,0.978345236
15,3,2004,26.18333,-20.21667,ICOSAMP,controldata,1,0.993616093
15,3,2004,27.45861,-21.45,ICOSAMP,controldata,1,0.996552894
15,3,2004,28.33333333,-21.96666667,NfA-yearpos5AC,controldata,1,0.976281055
15,3,2004,22.1182,-18.4479,NfA-yearpos5AC,controldata,1,0.806025673
15,3,2004,27.48333333,-21.48333333,NfA-yearpos5AC,controldata,1,0.997528532
15,3,2004,23.81666667,-20.33333333,NfA-yearpos5AC,controldata,1,0.948705996
15,3,2004,30.694,-27.4737,EBIRD,gbifdata,0,0.925925385
15,3,2004,26.71666667,-22.38333333,NfA-yearpos5AC,controldata,1,0.994741314
29,3,2004,29.6488,-25.5312,ICOSAMP,controldata,0,0.936490772
29,3,2004,28.8783,-24.4188,ICOSAMP,controldata,1,0.812672619
29,3,2004,28.8783,-24.4188,ICOSAMP,controldata,1,0.812672619
29,3,2004,28.8783,-24.4188,ICOSAMP,controldata,1,0.812672619
5,2,2004,28.3107,-25.2388,ICOSAMP,controldata,1,0.635589134
5,2,2004,28.3107,-25.0387,ICOSAMP,controldata,1,0.666867599
5,2,2004,28.3563,-24.9787,ICOSAMP,controldata,1,0.690415837
19,3,2004,25.97,-24.8236,ICOSAMP,controldata,0,0.98079087
12,1,2004,27.0334,-24.8814,ICOSAMP,controldata,0,0.938595081
12,1,2004,30.426,-26.5329,EBIRD_POR,gbifdata,0,0.890780494
25,2,2004,28.5508,-24.8308,ICOSAMP,controldata,1,0.680714881
25,2,2004,28.5508,-24.8308,ICOSAMP,controldata,1,0.680714881
25,2,2004,27.8215,-23.1665,ICOSAMP,controldata,0,0.989664041
13,4,2004,26.7436,-24.679,ICOSAMP,controldata,0,0.954814339
13,4,2004,27.1931,-27.1676,ICOSAMP,controldata,1,0.972525853
13,4,2004,30.838,-26.0609,EBIRD,gbifdata,0,0.945141822
18,2,2004,29.0772,-24.7791,ICOSAMP,controldata,1,0.827519691
18,2,2004,29.0772,-24.7791,ICOSAMP,controldata,1,0.827519691
4,4,2004,29.248,-25.7879,ICOSAMP,controldata,0,0.835367012
4,4,2004,31.843872,-24.206003,EBIRD,gbifdata,1,0.860499384
19,2,2004,28.5674,-24.8497,ICOSAMP,controldata,1,0.699646359
19,2,2004,28.5674,-24.8497,ICOSAMP,controldata,1,0.699646359
5,4,2004,27.6065,-26.4594,ICOSAMP,controldata,0,0.794995446
21,11,2004,25.1793,-19.2803,EBIRD,gbifdata,0,0.904463377
30,4,2004,21.58333,-25.38333,ICOSAMP,controldata,1,1
